sweep,model,value,delta
hold_time_sweep,ada-002,0.0,0.00018741244159847792
hold_time_sweep,ada-002,0.5,0.00017969614706392356
hold_time_sweep,ada-002,1.0,0.00014218204980820381
hold_time_sweep,ada-002,1.5,0.00011593246746732788
hold_time_sweep,ada-002,2.0,0.00017990238836929073
hold_time_sweep,ada-002,2.5,0.00016207197495443637
hold_time_sweep,ada-002,3.0,7.059294658939841e-05
hold_time_sweep,ada-002,3.5,4.1364009310984606e-05
hold_time_sweep,ada-002,4.0,0.0001354317677679795
hold_time_sweep,ada-002,4.5,0.00012873503463062264
hold_time_sweep,ada-002,5.0,0.00012290304519158024
hold_time_sweep,ada-002,5.5,0.0001065988313866395
hold_time_sweep,ada-002,6.0,0.00011698427663642263
hold_time_sweep,ada-002,6.5,0.00010517851676938861
hold_time_sweep,ada-002,7.0,0.00010859368224225285
hold_time_sweep,ada-002,7.5,0.00010483314291309664
hold_time_sweep,ada-002,8.0,0.00010190622533379212
hold_time_sweep,ada-002,8.5,9.98490002708241e-05
hold_time_sweep,ada-002,9.0,0.00012784666625909047
hold_time_sweep,ada-002,9.5,0.00010402007750576203
hold_time_sweep,ada-002,10.0,0.00013161439895548188
hold_time_sweep,ada-002,10.5,0.00012431283121627779
hold_time_sweep,ada-002,11.0,0.000145784353747902
hold_time_sweep,ada-002,11.5,0.00012939114579002542
hold_time_sweep,ada-002,12.0,0.00014009242949064582
hold_time_sweep,ada-002,12.5,0.00012006742887715749
hold_time_sweep,ada-002,13.0,0.000150403932553278
hold_time_sweep,ada-002,13.5,0.00014036661522842664
hold_time_sweep,ada-002,14.0,0.00013792661758027513
hold_time_sweep,ada-002,14.5,0.00012248857834429305
hold_time_sweep,ada-002,15.0,0.00012003696898243987
hold_time_sweep,ada-002,15.5,0.0001024224491241732
hold_time_sweep,ada-002,16.0,0.00018156746116204658
hold_time_sweep,ada-002,16.5,0.00016222445111069295
hold_time_sweep,ada-002,17.0,0.00017013664526321914
hold_time_sweep,ada-002,17.5,0.0001806892957554318
hold_time_sweep,ada-002,18.0,0.00018589554377479445
hold_time_sweep,ada-002,18.5,0.0001764962315765617
hold_time_sweep,ada-002,19.0,0.00015915842188596319
hold_time_sweep,ada-002,19.5,0.00014254672829105974
hold_time_sweep,ada-002,20.0,0.0001515358345798301
hold_time_sweep,ada-002,20.5,0.00013063023624115822
hold_time_sweep,ada-002,21.0,0.0002932775272799226
hold_time_sweep,ada-002,21.5,0.00027475925193676254
hold_time_sweep,ada-002,22.0,0.00024188708408756643
hold_time_sweep,ada-002,22.5,0.00025201239874994563
hold_time_sweep,ada-002,23.0,0.00012840354812282406
hold_time_sweep,ada-002,23.5,0.0001225204981059047
hold_time_sweep,ada-002,24.0,0.0001387746813523716
hold_time_sweep,3-large,0.0,0.0007044346238653798
hold_time_sweep,3-large,0.5,0.0004887455959333709
hold_time_sweep,3-large,1.0,0.0009551228716995208
hold_time_sweep,3-large,1.5,0.001797376425653363
hold_time_sweep,3-large,2.0,0.0007198369995593534
hold_time_sweep,3-large,2.5,0.00029982457818844566
hold_time_sweep,3-large,3.0,0.00027169113466274375
hold_time_sweep,3-large,3.5,0.00022135911616827375
hold_time_sweep,3-large,4.0,0.00030672444384549635
hold_time_sweep,3-large,4.5,0.00022073572925640494
hold_time_sweep,3-large,5.0,0.0003017267799464429
hold_time_sweep,3-large,5.5,0.0008230382689669025
hold_time_sweep,3-large,6.0,0.0008856066112833405
hold_time_sweep,3-large,6.5,0.0002307324713751724
hold_time_sweep,3-large,7.0,0.00034444966546853806
hold_time_sweep,3-large,7.5,0.0002763231691343959
hold_time_sweep,3-large,8.0,0.000407884762335442
