label,group,field,from,to,note,mode,model,cosine_similarity,delta,noise_p95
BASE (reference),base,(none),,,,RAW,ada-002,0.9999964811596633,3.518840336669271e-06,7.771561172376096e-16
BASE (reference),base,(none),,,,RAW,3-large,0.9999999999999997,3.3306690738754696e-16,3.3306690738754696e-16
BASE (reference),base,(none),,,,RAW,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
BASE (reference),base,(none),,,,PROJ_ref1,ada-002,0.9959095378403122,0.00409046215968778,7.771561172376096e-16
BASE (reference),base,(none),,,,PROJ_ref1,3-large,0.9999999999999982,1.7763568394002505e-15,3.3306690738754696e-16
BASE (reference),base,(none),,,,PROJ_ref1,matbert,0.9999998807907104,1.1920928955078125e-07,-1.1920928955078125e-07
BASE (reference),base,(none),,,,PROJ_ref2,ada-002,0.9956295194619331,0.004370480538066879,7.771561172376096e-16
BASE (reference),base,(none),,,,PROJ_ref2,3-large,0.999999999999999,9.992007221626409e-16,3.3306690738754696e-16
BASE (reference),base,(none),,,,PROJ_ref2,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
BASE (reference),base,(none),,,,PROJ_both,ada-002,0.9946781574603271,0.0053218425396729385,7.771561172376096e-16
BASE (reference),base,(none),,,,PROJ_both,3-large,1.0000000000000022,-2.220446049250313e-15,3.3306690738754696e-16
BASE (reference),base,(none),,,,PROJ_both,matbert,1.0,0.0,-1.1920928955078125e-07
BASE (reference),base,(none),,,,DIFF_both,ada-002,0.9946786402837032,0.00532135971629677,7.771561172376096e-16
BASE (reference),base,(none),,,,DIFF_both,3-large,1.0,0.0,3.3306690738754696e-16
BASE (reference),base,(none),,,,DIFF_both,matbert,0.9999999403953552,5.960464477539063e-08,-1.1920928955078125e-07
Control: double-space,control_surface,spacing,,,,RAW,ada-002,0.9975021157769686,0.0024978842230314324,7.771561172376096e-16
Control: double-space,control_surface,spacing,,,,RAW,3-large,0.9911406320582163,0.008859367941783658,3.3306690738754696e-16
Control: double-space,control_surface,spacing,,,,RAW,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Control: double-space,control_surface,spacing,,,,PROJ_ref1,ada-002,0.2794205753046477,0.7205794246953523,7.771561172376096e-16
Control: double-space,control_surface,spacing,,,,PROJ_ref1,3-large,0.4174422988332991,0.5825577011667009,3.3306690738754696e-16
Control: double-space,control_surface,spacing,,,,PROJ_ref1,matbert,0.9999998807907104,1.1920928955078125e-07,-1.1920928955078125e-07
Control: double-space,control_surface,spacing,,,,PROJ_ref2,ada-002,0.29563136759519987,0.7043686324048002,7.771561172376096e-16
Control: double-space,control_surface,spacing,,,,PROJ_ref2,3-large,0.6236404288921878,0.37635957110781215,3.3306690738754696e-16
Control: double-space,control_surface,spacing,,,,PROJ_ref2,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Control: double-space,control_surface,spacing,,,,PROJ_both,ada-002,0.23557240738022223,0.7644275926197778,7.771561172376096e-16
Control: double-space,control_surface,spacing,,,,PROJ_both,3-large,0.5238353024580029,0.4761646975419971,3.3306690738754696e-16
Control: double-space,control_surface,spacing,,,,PROJ_both,matbert,1.0,0.0,-1.1920928955078125e-07
Control: double-space,control_surface,spacing,,,,DIFF_both,ada-002,0.23575101329402398,0.7642489867059761,7.771561172376096e-16
Control: double-space,control_surface,spacing,,,,DIFF_both,3-large,0.5242602646019185,0.47573973539808145,3.3306690738754696e-16
Control: double-space,control_surface,spacing,,,,DIFF_both,matbert,0.9999999403953552,5.960464477539063e-08,-1.1920928955078125e-07
Control: remove comma,control_surface,punctuation,,,,RAW,ada-002,0.9996822128751857,0.00031778712481433935,7.771561172376096e-16
Control: remove comma,control_surface,punctuation,,,,RAW,3-large,0.9990007078930068,0.0009992921069932326,3.3306690738754696e-16
Control: remove comma,control_surface,punctuation,,,,RAW,matbert,0.9995162487030029,0.0004837512969970703,-1.1920928955078125e-07
Control: remove comma,control_surface,punctuation,,,,PROJ_ref1,ada-002,0.7452149515182205,0.2547850484817795,7.771561172376096e-16
Control: remove comma,control_surface,punctuation,,,,PROJ_ref1,3-large,0.7026841230304653,0.29731587696953465,3.3306690738754696e-16
Control: remove comma,control_surface,punctuation,,,,PROJ_ref1,matbert,0.7182462215423584,0.2817537784576416,-1.1920928955078125e-07
Control: remove comma,control_surface,punctuation,,,,PROJ_ref2,ada-002,0.7443980162928796,0.2556019837071204,7.771561172376096e-16
Control: remove comma,control_surface,punctuation,,,,PROJ_ref2,3-large,0.8357296687968816,0.1642703312031184,3.3306690738754696e-16
Control: remove comma,control_surface,punctuation,,,,PROJ_ref2,matbert,0.6997650265693665,0.30023497343063354,-1.1920928955078125e-07
Control: remove comma,control_surface,punctuation,,,,PROJ_both,ada-002,0.70280861010608,0.29719138989392,7.771561172376096e-16
Control: remove comma,control_surface,punctuation,,,,PROJ_both,3-large,0.7447355017595413,0.2552644982404587,3.3306690738754696e-16
Control: remove comma,control_surface,punctuation,,,,PROJ_both,matbert,0.6778973340988159,0.3221026659011841,-1.1920928955078125e-07
Control: remove comma,control_surface,punctuation,,,,DIFF_both,ada-002,0.7028403053938448,0.2971596946061552,7.771561172376096e-16
Control: remove comma,control_surface,punctuation,,,,DIFF_both,3-large,0.7449016580238426,0.25509834197615744,3.3306690738754696e-16
Control: remove comma,control_surface,punctuation,,,,DIFF_both,matbert,0.6782354116439819,0.32176458835601807,-1.1920928955078125e-07
Control: 30 ccm→30ccm,control_surface,spacing,,,,RAW,ada-002,0.9997491299600422,0.00025087003995782897,7.771561172376096e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,RAW,3-large,0.9977653416028043,0.0022346583971957212,3.3306690738754696e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,RAW,matbert,0.9994295835494995,0.0005704164505004883,-1.1920928955078125e-07
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_ref1,ada-002,0.8078423918505208,0.19215760814947924,7.771561172376096e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_ref1,3-large,0.6680583150222098,0.3319416849777902,3.3306690738754696e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_ref1,matbert,0.6490020751953125,0.3509979248046875,-1.1920928955078125e-07
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_ref2,ada-002,0.7950075944456623,0.20499240555433773,7.771561172376096e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_ref2,3-large,0.820207945420031,0.17979205457996905,3.3306690738754696e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_ref2,matbert,0.6544454097747803,0.3455545902252197,-1.1920928955078125e-07
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_both,ada-002,0.7701354938517785,0.22986450614822151,7.771561172376096e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_both,3-large,0.7444848342814265,0.25551516571857347,3.3306690738754696e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,PROJ_both,matbert,0.6126242876052856,0.38737571239471436,-1.1920928955078125e-07
Control: 30 ccm→30ccm,control_surface,spacing,,,,DIFF_both,ada-002,0.770156700168265,0.22984329983173502,7.771561172376096e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,DIFF_both,3-large,0.7446563978686443,0.25534360213135565,3.3306690738754696e-16
Control: 30 ccm→30ccm,control_surface,spacing,,,,DIFF_both,matbert,0.6132619380950928,0.3867380619049072,-1.1920928955078125e-07
Control: 1%→1 %,control_surface,spacing,,,,RAW,ada-002,0.99983299204048,0.00016700795951996028,7.771561172376096e-16
Control: 1%→1 %,control_surface,spacing,,,,RAW,3-large,0.9996803133460319,0.0003196866539680876,3.3306690738754696e-16
Control: 1%→1 %,control_surface,spacing,,,,RAW,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Control: 1%→1 %,control_surface,spacing,,,,PROJ_ref1,ada-002,0.8288552504631677,0.17114474953683234,7.771561172376096e-16
Control: 1%→1 %,control_surface,spacing,,,,PROJ_ref1,3-large,0.8916731372893733,0.10832686271062675,3.3306690738754696e-16
Control: 1%→1 %,control_surface,spacing,,,,PROJ_ref1,matbert,0.9999998807907104,1.1920928955078125e-07,-1.1920928955078125e-07
