sweep,model,value,delta
temperature_sweep,ada-002,400,0.0004479559135914801
temperature_sweep,ada-002,410,0.0005893428340948415
temperature_sweep,ada-002,420,0.00042362326816014484
temperature_sweep,ada-002,430,0.00032494267955085476
temperature_sweep,ada-002,440,0.00040095357826452904
temperature_sweep,ada-002,450,0.00044547660120575205
temperature_sweep,ada-002,460,0.0002986910872175841
temperature_sweep,ada-002,470,0.00034821053241018696
temperature_sweep,ada-002,480,0.0002664174718614021
temperature_sweep,ada-002,490,0.00027596591071654686
temperature_sweep,ada-002,500,0.0005431233448350836
temperature_sweep,ada-002,510,0.0007782115166854453
temperature_sweep,ada-002,520,0.0006905351657631176
temperature_sweep,ada-002,530,0.000357380750240166
temperature_sweep,ada-002,540,0.00027448480188363433
temperature_sweep,ada-002,550,0.0007041667775438132
temperature_sweep,ada-002,560,0.00034018648531142226
temperature_sweep,ada-002,570,0.00029793275810141573
temperature_sweep,ada-002,580,0.00028369299487995825
temperature_sweep,ada-002,590,0.00027518643992641145
temperature_sweep,ada-002,600,0.0002793424162321756
temperature_sweep,ada-002,610,0.00031383087346736893
temperature_sweep,ada-002,620,0.00023676298294117437
temperature_sweep,ada-002,630,0.0001932347896553832
temperature_sweep,ada-002,640,0.00020777469442290197
temperature_sweep,ada-002,650,0.0002727953230703406
temperature_sweep,ada-002,660,0.00029727768236564867
temperature_sweep,ada-002,670,0.0002937277028309815
temperature_sweep,ada-002,680,0.000286606526585631
temperature_sweep,ada-002,690,0.0002478544981164843
temperature_sweep,ada-002,700,0.0004275125845631944
temperature_sweep,ada-002,710,0.00042135720641489627
temperature_sweep,ada-002,720,0.000459803100041678
temperature_sweep,ada-002,730,0.00027320751052783976
temperature_sweep,ada-002,740,0.00025159653274309246
temperature_sweep,ada-002,750,0.0004116258042242693
temperature_sweep,ada-002,760,0.0004173143764789611
temperature_sweep,ada-002,770,0.0002895768600514881
temperature_sweep,ada-002,780,0.00029024730723103964
temperature_sweep,ada-002,790,0.00034829835835037404
temperature_sweep,ada-002,800,0.0003469019873403312
temperature_sweep,ada-002,810,0.00051670891749378
temperature_sweep,ada-002,820,0.0005933670867912522
temperature_sweep,ada-002,830,0.0003212968943684391
temperature_sweep,ada-002,840,0.00033769317688370215
temperature_sweep,ada-002,850,0.0004346471103522376
temperature_sweep,ada-002,860,0.0002715657494604118
temperature_sweep,ada-002,870,0.00036133430297524693
temperature_sweep,ada-002,880,0.0003037682556230603
temperature_sweep,ada-002,890,0.00042318071482738695
temperature_sweep,ada-002,900,0.00038012512980323265
temperature_sweep,3-large,400,0.00262282972319694
temperature_sweep,3-large,410,0.0030773512413262427
temperature_sweep,3-large,420,0.002969444359672946
temperature_sweep,3-large,430,0.002459898984286335
temperature_sweep,3-large,440,0.002761034869173784
temperature_sweep,3-large,450,0.0025251120539770966
