Pattern,Rwp(%),Rf(%),Rf^2(%),Chi^2,FWHM(deg),Error
W1.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W1.tmp2col.xye')
W10.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W10.tmp2col.xye')
W11.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W11.tmp2col.xye')
W12.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W12.tmp2col.xye')
W13.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W13.tmp2col.xye')
W14.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W14.tmp2col.xye')
W15.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W15.tmp2col.xye')
W16.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W16.tmp2col.xye')
W2.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W2.tmp2col.xye')
W3.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W3.tmp2col.xye')
W4.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W4.tmp2col.xye')
W5.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W5.tmp2col.xye')
W6.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W6.tmp2col.xye')
W7.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W7.tmp2col.xye')
W8.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W8.tmp2col.xye')
W9.xye,,,,,,Init failed: ('Could not read file: ', '/Users/shane/repos/boicl_crystal_phase_isolation/W_xrd_idex/W9.tmp2col.xye')
