iteration,gp_bo_fixed_seed,gp_bo_median,gp_bo_q25,gp_bo_q75,random_best_of_N
1,2.406,0.0,0.0,0.0,2.336642
2,2.406,0.0,0.0,0.1685,4.897603200000001
3,2.406,0.0105,0.0,98.178,7.097689000000002
4,3.895,98.178,0.0,98.178,9.298638
5,3.895,98.178,98.178,98.178,10.953629999999999
6,10.624,98.178,98.178,98.178,12.5960872
7,11.745,98.178,98.178,98.178,14.5591598
8,20.066,98.178,98.178,98.178,17.2617658
9,20.066,98.178,98.178,98.178,18.880423399999998
10,20.066,98.178,98.178,98.178,21.3268868
11,20.066,98.178,98.178,98.178,23.100170199999997
12,22.14,98.178,98.178,98.178,24.782512
13,22.14,98.178,98.178,98.178,26.3541398
14,43.1,98.178,98.178,98.178,28.467119
15,43.555,98.178,98.178,98.178,29.3094256
